id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
323,M. peelii,2013,317.7270759,-35.29,148.96,Nerreman,336,12.21
324,M. peelii,2013,317.7270759,-35.29,148.96,Nerreman,336,12.21
327,M. peelii,2013,316.0130676,-35.29,148.96,Nerreman,336,13.93
329,M. peelii,2013,318.4006871,-35.52,149.07,Tharwa Sandwash,337,12.88
330,M. peelii,2013,318.9720232,-35.52,149.07,Tharwa Sandwash,337,12.31
332,M. peelii,2013,316.5914561,-35.52,149.07,Tharwa Sandwash,337,14.69
333,M. peelii,2013,323.3642937,-35.29,148.96,Nerreman,343,13.35
335,M. peelii,2013,322.4120668,-35.29,148.96,Nerreman,343,14.31
337,M. peelii,2013,322.2216215,-35.29,148.96,Nerreman,343,14.5
339,M. peelii,2013,323.9252156,-35.52,149.07,Tharwa Sandwash,344,13.64
341,M. peelii,2013,323.6395476,-35.52,149.07,Tharwa Sandwash,344,13.93
342,M. peelii,2013,323.7347703,-35.52,149.07,Tharwa Sandwash,344,13.83
348,M. peelii,2013,326.8719838,-35.52,149.07,Tharwa Sandwash,351,19.73
349,M. peelii,2013,331.5378954,-35.52,149.07,Tharwa Sandwash,351,15.07
351,M. peelii,2013,331.9187861,-35.52,149.07,Tharwa Sandwash,351,14.69
357,M. peelii,2013,300.295957,-35.47,149.06,Lanyon,324,16.78
365,M. peelii,2013,304.6772837,-35.43,149.07,Murramore,325,13.35
366,M. peelii,2013,304.6772837,-35.43,149.07,Murramore,325,13.35
367,M. peelii,2013,304.2963929,-35.43,149.07,Murramore,325,13.74
368,M. peelii,2013,310.4127676,-35.47,149.06,Lanyon,331,13.93
369,M. peelii,2013,310.0318768,-35.47,149.06,Lanyon,331,14.31
370,M. peelii,2013,310.7936583,-35.47,149.06,Lanyon,331,13.55
371,M. peelii,2013,310.4127676,-35.47,149.06,Lanyon,331,13.93
372,M. peelii,2013,310.2223222,-35.47,149.06,Lanyon,331,14.12
373,M. peelii,2013,312.5754498,-35.37,148.98,Bullen Range,332,12.78
374,M. peelii,2013,311.2423322,-35.43,149.07,Murramore,332,14.12
375,M. peelii,2013,311.8136683,-35.43,149.07,Murramore,332,13.55
376,M. peelii,2013,310.2901054,-35.43,149.07,Murramore,332,15.07
377,M. peelii,2013,310.4805507,-35.43,149.07,Murramore,332,14.88
A28,M. peelii,2013,,-35.52,149.07,Tharwa Sandwash,,6
A26,M. peelii,2013,,-35.4,149.01,Kambah Pool,,
A21,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A22,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A24,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A29,M. peelii,2013,,-35.37,148.98,Bullen Range,,11
A30,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A31,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A47,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A23,M. peelii,2013,,-35.37,148.98,Bullen Range,,
A37,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A38,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A39,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A40,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A46,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A45,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A41,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A42,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A43,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A44,M. peelii,2014,,-35.37,148.98,Bullen Range,,
A33,M. peelii,2014,,-35.29,148.96,Nerreman,,
A34,M. peelii,2014,,-35.29,148.96,Nerreman,,
A35,M. peelii,2014,,-35.29,148.96,Nerreman,,
A36,M. peelii,2014,,-35.29,148.96,Nerreman,,
A48,M. peelii,2013,,-35.29,148.96,Nerreman,,
