"id","YearOnly","estimatedAge","pop","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","lat","lon","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
212,2013,14.69,"Nerreman",315,300.30,-23.21,12.19,3.07,46228.76,-35.29,148.96,"Goodoo","Wildlings","Talisa Stark","Robb",0.03
213,2013,15.26,"Nerreman",315,299.73,-23.22,17.45,3.13,46228.76,-35.29,148.96,"Goodoo","Lannister","Doreah","Viserys",0.32
214,2013,15.16,"Nerreman",315,299.83,-23.08,12.34,3.11,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,0.07
215,2013,13.93,"Nerreman",315,301.06,-23.81,17.49,3.22,46228.76,-35.29,148.96,"Goodoo","Lannister","Ygritte","Jon",0.03
216,2013,14.31,"Nerreman",315,300.68,-22.69,12.10,3.17,46228.76,-35.29,148.96,"Goodoo","Nights Watch",,,-6.9e-03
217,2013,13.93,"Nerreman",315,301.06,-23.84,17.30,3.21,46228.76,-35.29,148.96,"Goodoo","Lannister","Ygritte","Jon",-0.02
218,2013,13.74,"Nerreman",315,301.25,-22.67,13.01,3.19,46228.76,-35.29,148.96,"Goodoo","Lannister",,,0.05
219,2013,15.64,"Nerreman",315,299.35,-23.06,12.31,3.14,46228.76,-35.29,148.96,"Goodoo","Wildlings",,"Renly",-0.03
220,2013,13.26,"Nerreman",315,301.73,-22.97,12.91,3.18,46228.76,-35.29,148.96,"Goodoo","Wildlings","Selyse Baratheon","Davos",0.17
222,2013,8.40,"Nerreman",315,306.59,-24.42,8.21,4.51,46228.76,-35.29,148.96,,,,,0.04
223,2013,13.64,"Nerreman",315,301.35,-23.68,12.81,3.27,46228.76,-35.29,148.96,"Goodoo","Nights Watch",,,-6.1e-03
224,2013,14.69,"Nerreman",315,300.30,-23.34,17.16,3.44,46228.76,-35.29,148.96,"Goodoo","Lannister","Doreah","Viserys",0.28
225,2013,16.31,"Kambah Pool",315,298.68,-24.62,14.10,3.22,28825.03,-35.40,149.01,"Goodoo","Wildlings","Catelyn Stark","Ned",0.06
226,2013,12.31,"Tharwa Sandwash",316,303.68,-23.60,13.99,3.21,8343.72,-35.52,149.07,"Goodoo","Tyrell",,,0.11
227,2013,16.12,"Kambah Pool",317,300.87,-23.62,12.39,2.69,28825.03,-35.40,149.01,"Goodoo","Lannister",,"Tyrion",0.03
228,2013,15.16,"Kambah Pool",317,301.83,-24.33,13.58,3.31,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.05
229,2013,16.02,"Kambah Pool",317,300.97,-24.44,13.20,3.22,28825.03,-35.40,149.01,"Goodoo","Wildlings","Shireen Baratheon","Aegon",-0.04
230,2013,15.45,"Kambah Pool",317,301.54,-25.18,18.33,3.26,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Melisandre","Stannis",0.07
231,2013,15.26,"Kambah Pool",317,301.73,-25.14,18.34,3.23,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Melisandre","Stannis",0.33
232,2013,15.35,"Kambah Pool",317,301.64,-24.03,13.82,3.23,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,0.05
233,2013,15.74,"Kambah Pool",317,301.25,-24.81,14.04,3.24,28825.03,-35.40,149.01,"Goodoo","Lannister","Septa Mordane","Ser Hugh",0.06
234,2013,14.21,"Kambah Pool",317,302.78,-25.12,13.74,3.28,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.04
235,2013,16.21,"Kambah Pool",317,300.78,-25.37,13.41,3.31,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,0.08
236,2013,15.16,"Kambah Pool",317,301.83,-25.17,13.83,3.23,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.10
237,2013,15.83,"Kambah Pool",317,301.16,-24.76,18.58,3.45,28825.03,-35.40,149.01,"Goodoo","Lannister",,"Tyrion",0.10
238,2013,15.45,"Kambah Pool",317,301.54,-24.50,13.52,3.33,28825.03,-35.40,149.01,"Goodoo","Wildlings","Shireen Baratheon","Aegon",3.5e-03
239,2013,15.45,"Kambah Pool",317,301.54,-24.88,14.17,3.29,28825.03,-35.40,149.01,"Goodoo","Lannister","Septa Mordane","Ser Hugh",0.01
240,2013,15.83,"Kambah Pool",317,301.16,-23.98,14.18,3.24,28825.03,-35.40,149.01,"Goodoo","Wildlings","Obara Sand","Doran",-9.1e-03
241,2013,15.35,"Kambah Pool",317,301.64,-25.07,18.59,3.26,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Melisandre","Stannis",0.23
242,2013,14.69,"Kambah Pool",317,302.30,-24.45,13.84,3.68,28825.03,-35.40,149.01,"Goodoo","Wildlings","Catelyn Stark","Ned",0.08
244,2013,14.31,"Kambah Pool",317,302.68,-24.94,13.39,3.80,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.05
245,2013,16.21,"Kambah Pool",317,300.78,-24.04,13.60,3.64,28825.03,-35.40,149.01,"Goodoo","Wildlings","Obara Sand","Doran",-0.04
246,2013,14.69,"Kambah Pool",317,302.30,-24.79,14.12,3.43,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,0.04
247,2013,15.07,"Kambah Pool",317,301.92,-25.03,13.54,3.67,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.06
250,2013,14.50,"Lanyon",317,302.49,-23.17,13.89,3.26,13980.31,-35.47,149.06,"Goodoo","Lannister","The Waif",,0.05
254,2013,14.12,"Lanyon",317,302.87,-24.46,13.33,3.38,13980.31,-35.47,149.06,"Goodoo","Lannister","The Waif","Facelessman",-0.05
255,2013,13.93,"Lanyon",317,303.06,-24.43,13.41,3.39,13980.31,-35.47,149.06,"Goodoo","Lannister","The Waif","Facelessman",0.01
256,2013,13.93,"Lanyon",317,303.06,-23.94,13.76,3.32,13980.31,-35.47,149.06,"Goodoo","Wildlings","The Waif",,0.02
257,2013,14.88,"Kambah Pool",319,304.11,-23.94,12.92,3.41,28825.03,-35.40,149.01,"Goodoo","Lannister",,,-0.01
258,2013,16.02,"Kambah Pool",319,302.97,-25.22,13.82,3.11,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.06
259,2013,14.88,"Kambah Pool",319,304.11,-24.15,13.05,3.16,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,-0.02
260,2013,15.64,"Kambah Pool",319,303.35,-24.77,14.10,3.21,28825.03,-35.40,149.01,"Ponde","Bolton",,,0.10
261,2013,15.07,"Kambah Pool",319,303.92,-24.11,13.60,3.34,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,-0.01
263,2013,11.26,"Nerreman",322,310.73,-22.95,13.57,3.27,46228.76,-35.29,148.96,"Goodoo","Lannister",,,-2.8e-03
264,2013,16.40,"Nerreman",322,305.59,-24.38,13.30,3.23,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,0.09
265,2013,12.40,"Nerreman",322,309.59,-23.96,17.87,3.24,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,0.03
266,2013,16.97,"Nerreman",322,305.02,-23.25,12.63,3.14,46228.76,-35.29,148.96,"Goodoo","Wildlings","Talisa Stark","Robb",0.04
267,2013,10.69,"Tharwa Sandwash",323,312.30,-24.23,13.20,3.45,8343.72,-35.52,149.07,"Goodoo","Lannister","Olenna Redwyne","Luthor",0.11
268,2013,14.88,"Tharwa Sandwash",323,308.11,-24.32,13.17,3.39,8343.72,-35.52,149.07,"Goodoo","Greyjoys",,,0.21
270,2013,12.40,"Kambah Pool",323,310.59,-24.08,15.10,3.34,28825.03,-35.40,149.01,"Ponde","Bolton","Brienne of Tarth","Tormund",0.05
271,2013,12.59,"Kambah Pool",323,310.40,-24.05,15.18,3.33,28825.03,-35.40,149.01,"Ponde","Bolton","Brienne of Tarth","Tormund",-0.01
272,2013,12.21,"Kambah Pool",323,310.78,-24.48,13.30,3.26,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,-3.0e-04
273,2013,15.83,"Kambah Pool",323,307.16,-23.75,14.00,3.32,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,0.13
274,2013,13.16,"Kambah Pool",323,309.83,-24.06,15.12,3.28,28825.03,-35.40,149.01,"Ponde","Bolton","Brienne of Tarth","Tormund",0.13
275,2013,10.12,"Kambah Pool",324,313.87,-24.76,13.62,3.21,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.06
276,2013,11.07,"Kambah Pool",324,312.92,-24.72,13.62,3.32,28825.03,-35.40,149.01,"Goodoo","Lannister",,,0.04
