"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"268",268,"186","192","1819",0.0555,0.116,0.1202,0.0513,0.0467,0.1195,0.0557
"269",269,"186","193","1819",0.1895,0.2407,0.2446,0.1896,0.1724,0.2298,0.1935
"270",270,"186","194","1819",0.0536,0.0335,0.0367,0.0565,0.0563,0.0772,0.0539
"271",271,"186","195","1819",0.1025,0.1248,0.1307,0.0925,0.0862,0.1519,0.1025
"272",272,"186","196","1819",0,0.0105,0.018,-0.0874,-0.0765,-0.0131,0
"273",273,"186","197","1819",0.021,0.0659,0.0682,-0.0199,-0.0179,0.0519,0.021
"274",274,"186","198","1819",0,-0.0294,-0.0251,-0.0208,-0.0203,0.0494,0
"275",275,"186","199","1819",0.1269,0.1053,0.1082,0.1267,0.126,0.1626,0.1336
"276",276,"186","200","1820",0.3495,0.3614,0.3668,0.347,0.3241,0.3752,0.3535
"277",277,"186","201","1820",0.4748,0.4784,0.4846,0.4628,0.4204,0.4859,0.4781
"278",278,"186","202","1820",0,-0.0555,-0.0475,-0.0541,-0.052,0.0221,0
"279",279,"186","203","1820",0,-0.044,-0.035,-0.0537,-0.0507,0.0116,0
"280",280,"186","204","1820",0.4001,0.431,0.4389,0.3769,0.3174,0.4052,0.403
"281",281,"186","205","1820",0.3752,0.3726,0.3777,0.3608,0.3378,0.3817,0.3783
"282",282,"186","206","1820",0.0205,-0.0023,0.0026,0.0203,0.0201,0.0724,0.0205
"283",283,"186","207","1820",0.0648,0.1296,0.1282,0.0616,0.0575,0.1444,0.0648
"284",284,"186","208","1820",0,-0.0528,-0.0474,-0.0616,-0.0593,-0.0274,0
"285",285,"186","209","1820",0,-0.0671,-0.0564,-0.1101,-0.1003,-0.0585,0
"286",286,"186","210","1821",0,-0.064,-0.0564,-0.0863,-0.0813,-0.0518,0
"287",287,"186","211","1821",0,0.0135,0.0182,-0.0471,-0.0432,0.0196,0
"288",288,"186","212","1821",0.0705,0.0836,0.0908,0.0736,0.0696,0.0987,0.0711
"289",289,"186","213","1821",0.0095,-0.1263,-0.1191,-0.0516,-0.0526,0.0356,0.0095
"290",290,"186","214","1821",0.0184,0.0414,0.0455,0.0162,0.0153,0.0748,0.0184
"291",291,"186","215","1821",0,-0.0476,-0.0413,-0.0744,-0.0702,-0.0271,0
"292",292,"186","216","1821",0.0384,0.0797,0.0879,0.0235,0.0212,0.0774,0.0384
